script,region,img_size,threads,mean,ci
mandelbrot_omp,elephant,64,4,0.005474555,0.001047469832767192
mandelbrot_omp,elephant,64,8,0.0033303,0.00010361989452328879
mandelbrot_omp,elephant,64,16,0.004145155,0.0002510102231875916
mandelbrot_omp,elephant,64,32,0.004232036,0.00022217174958463035
mandelbrot_omp,elephant,128,1,0.019938647,8.279927967807175e-5
mandelbrot_omp,elephant,128,2,0.010783481,4.2107125843247425e-5
mandelbrot_omp,elephant,128,4,0.008198256,0.0002606723168781163
mandelbrot_omp,elephant,128,8,0.009120706,0.0002182085848524946
mandelbrot_omp,elephant,128,16,0.008942699,0.00021616694832660646
mandelbrot_omp,elephant,128,32,0.008831796,0.00022060235609129116
mandelbrot_omp,elephant,256,1,0.076589626,6.645903880964382e-5
mandelbrot_omp,elephant,256,2,0.039863143,0.0001507153352506758
mandelbrot_omp,elephant,256,4,0.028917755,0.0003674299099460268
mandelbrot_omp,elephant,256,8,0.029101642,0.00038600003011215827
mandelbrot_omp,elephant,256,16,0.029235062,0.0005671584776273257
mandelbrot_omp,elephant,256,32,0.028286973,0.00026824644685970834
mandelbrot_omp,elephant,512,1,0.302483928,0.00031871851760238354
mandelbrot_omp,elephant,512,2,0.155936588,7.732039885801199e-5
mandelbrot_omp,elephant,512,4,0.110955544,0.000845882791522352
mandelbrot_omp,elephant,512,8,0.110418997,0.00105395141211937
mandelbrot_omp,elephant,512,16,0.106234203,0.0007177065889815486
mandelbrot_omp,elephant,512,32,0.10710625,0.0006638514152132425
mandelbrot_omp,elephant,1024,1,1.205983686,0.0006727287894102019
mandelbrot_omp,elephant,1024,2,0.621023918,0.0006543548407655703
mandelbrot_omp,elephant,1024,4,0.420609812,0.0018248766366495241
mandelbrot_omp,elephant,1024,8,0.411970478,0.0017363252442834632
mandelbrot_omp,elephant,1024,16,0.404487938,0.00120338026247239
mandelbrot_omp,elephant,1024,32,0.398473088,0.0005186499752588676
mandelbrot_omp,elephant,2048,1,4.815202081,0.001492246585054374
mandelbrot_omp,elephant,2048,2,2.476154865,0.0003069473371381045
mandelbrot_omp,elephant,2048,4,1.674579012,0.008303318598140395
mandelbrot_omp,elephant,2048,8,1.664691774,0.011040117167468801
mandelbrot_omp,elephant,2048,16,1.612597873,0.015892026417280547
mandelbrot_omp,elephant,2048,32,1.583710704,0.0008834346575712291
mandelbrot_omp,elephant,4096,1,19.244757046,0.005964011997629513
mandelbrot_omp,elephant,4096,2,9.896312169,0.0006133797830455911
mandelbrot_omp,elephant,4096,4,6.673857878,0.03433294973646401
mandelbrot_omp,elephant,4096,8,6.411613212,0.015101044353086089
mandelbrot_omp,elephant,4096,16,6.35537921,0.007878209689491171
mandelbrot_omp,elephant,4096,32,6.322346884,0.0035267680772795144
mandelbrot_omp,elephant,8192,1,77.105369371,0.05256944336602763
mandelbrot_omp,elephant,8192,2,39.593442399,0.009816107937581663
mandelbrot_omp,elephant,8192,4,26.666189844,0.15205645643444377
mandelbrot_omp,elephant,8192,8,25.404197972,0.04251334959013865
mandelbrot_omp,elephant,8192,16,25.290750691,0.01567536968013131
mandelbrot_omp,elephant,8192,32,25.481126819,0.052118107888260636
mandelbrot_seq,seahorse,16,.,0.000928672,2.273607632423135e-5
mandelbrot_seq,seahorse,32,.,0.001946845,1.846200559658995e-5
mandelbrot_seq,seahorse,64,.,0.006167877,4.24340764576805e-5
mandelbrot_seq,seahorse,128,.,0.022133695,9.191466214403306e-5
mandelbrot_seq,seahorse,256,.,0.085080798,0.00013710742483786636
mandelbrot_seq,seahorse,512,.,0.335262147,0.000623392894681814
mandelbrot_seq,seahorse,1024,.,1.332355665,0.0011561236354448814
mandelbrot_seq,seahorse,2048,.,5.343036821,0.011259605006743181
mandelbrot_seq,seahorse,4096,.,21.403717633,0.033165404076540075
mandelbrot_seq,seahorse,8192,.,89.504126702,0.9763640914908757
mandelbrot_seq_sem,seahorse,16,.,0.00077933,9.370854524653644e-6
mandelbrot_seq_sem,seahorse,32,.,0.001775164,1.2983044945463113e-5
mandelbrot_seq_sem,seahorse,64,.,0.005838232,7.418076050523325e-5
mandelbrot_seq_sem,seahorse,128,.,0.020802606,8.767640370745846e-5
mandelbrot_seq_sem,seahorse,256,.,0.080434349,0.00012463431502691453
mandelbrot_seq_sem,seahorse,512,.,0.318188014,0.0002366579691449838
mandelbrot_seq_sem,seahorse,1024,.,1.269172494,0.0002359923784909715
mandelbrot_seq_sem,seahorse,2048,.,5.072848954,0.0015720921782229876
mandelbrot_seq_sem,seahorse,4096,.,20.310212815,0.0113295602903359
mandelbrot_seq_sem,seahorse,8192,.,81.164190717,0.010061217318712581
mandelbrot_pth,seahorse,16,1,0.001159861,1.9338122054957013e-5
mandelbrot_pth,seahorse,16,2,0.001047381,2.7589872451413526e-5
mandelbrot_pth,seahorse,16,4,0.001272117,0.00017015102438137897
mandelbrot_pth,seahorse,16,8,0.001256103,0.00010736076326514686
mandelbrot_pth,seahorse,16,16,0.001628895,0.00023715494152403682
mandelbrot_pth,seahorse,16,32,0.001618801,0.00016354495052545842
mandelbrot_pth,seahorse,32,1,0.002192265,2.9757280344253356e-5
mandelbrot_pth,seahorse,32,2,0.001579514,2.1146247069411165e-5
mandelbrot_pth,seahorse,32,4,0.001519203,4.1713401623618435e-5
mandelbrot_pth,seahorse,32,8,0.001667597,0.00014738955310052775
mandelbrot_pth,seahorse,32,16,0.001423468,3.502630189978393e-5
mandelbrot_pth,seahorse,32,32,0.001902516,0.00021095738325156404
mandelbrot_pth,seahorse,64,1,0.006068527,5.453902404345377e-5
mandelbrot_pth,seahorse,64,2,0.004221032,6.043474525947352e-5
mandelbrot_pth,seahorse,64,4,0.00304969,0.0001045290247227688
mandelbrot_pth,seahorse,64,8,0.003163851,0.00010903021923686533
mandelbrot_pth,seahorse,64,16,0.003010679,4.851699260077964e-5
mandelbrot_pth,seahorse,64,32,0.003049334,3.2885944218592956e-5
mandelbrot_pth,seahorse,128,1,0.021277625,5.670843701006682e-5
mandelbrot_pth,seahorse,128,2,0.014471598,0.00013454384052327196
mandelbrot_pth,seahorse,128,4,0.008422825,4.280827237441001e-5
mandelbrot_pth,seahorse,128,8,0.009013267,0.00017038766331205408
mandelbrot_pth,seahorse,128,16,0.010116543,0.0005511592217740918
mandelbrot_pth,seahorse,128,32,0.008912123,0.00012815195267654698
mandelbrot_pth,seahorse,256,1,0.081676191,0.00013162091190747547
mandelbrot_pth,seahorse,256,2,0.056106433,0.0005737896030051281
mandelbrot_pth,seahorse,256,4,0.032192486,0.0003950715689594056
mandelbrot_pth,seahorse,256,8,0.045405834,0.001457798463562664
mandelbrot_pth,seahorse,256,16,0.028838545,0.0001447819545345116
mandelbrot_pth,seahorse,256,32,0.028749743,0.00016750118805310604
mandelbrot_pth,seahorse,512,1,0.322403747,0.0003397074515420004
mandelbrot_pth,seahorse,512,2,0.1985063,0.002977458602132571
mandelbrot_pth,seahorse,512,4,0.121218986,0.00026296307071141953
mandelbrot_pth,seahorse,512,8,0.111586869,0.0003388950639517648
